"variable","mean"
"hb","138.771528998243"
"hct","0.410489162272994"
"rdw","2.58231287176669"
"mch","30.4408904510838"
"mchc","337.913005272408"
"pltlt","5.45998511014681"
"rbc","4.56998623315759"
"wbc","1.80015137164132"
"neut_p","0.581432044522554"
"mono_p","0.0727880199179848"
"lympho_p","0.309566783831283"
"baso_p","0.0698380079345945"
"ferritin","4.36667112669115"
"glu","1.65091349449094"
"ca","2.33645869947276"
"cl","104.766285881664"
"sodium","140.876098418278"
"k","4.15773579379028"
"vitb12","5.8584396890614"
"folate","3.12923232086335"
"chol","5.29331818980668"
"trig","0.194411620506088"
"hdl","1.44777206795548"
"alb","41.6210527240773"
"alkp","4.31457664853561"
"tot_prot","72.0755711775044"
"ggt","3.1490838175043"
"ldh","5.45233307937504"
"uric_ac","304.834128881078"
"alt","3.15656923002009"
"ast","3.10838955199929"
