"variable","SD"
"ferritin","0.997577216033673"
"hb","14.6399170155257"
"hct","0.0408113908732728"
"iron","5.88603824712037"
"mch","2.16493860273068"
"mchc","10.5039373246372"
"rbc","0.487191895814945"
"rdw","0.0897540072460796"
"ca","0.106000394358787"
"cl","3.57698073378812"
"k","0.364857634247908"
"sodium","2.91424191689814"
"alb","3.77623611520623"
"alkp","0.32436190753054"
"alt","0.488570385145249"
"ast","0.335039292206869"
"ggt","0.599204987228498"
"ldh","0.575377928734947"
"tot_prot","5.21763912248461"
"uric_ac","84.4351923714337"
"baso_p","0.0241216886793324"
"lympho_p","0.0893704762280414"
"mono_p","0.0330133353572912"
"neut_p","0.0981567117031885"
"wbc","0.283920855842309"
"trig","0.501097654315664"
"hdl","0.424008460513913"
"ldl","0.942879887990103"
"chol","1.06713174994592"
"chol_hdl","1.21833428950801"
