"variable","mean"
"ferritin","4.28838244658099"
"hb","138.519766516317"
"hct","0.411074024940302"
"iron","15.7329079331388"
"mch","30.3785884850093"
"mchc","336.760944547625"
"rbc","4.56976651631733"
"rdw","2.58746988106904"
"ca","2.33683470416556"
"cl","104.512045635447"
"k","4.14884584770496"
"sodium","140.659352613425"
"alb","41.9835709737331"
"alkp","4.30781524835045"
"alt","3.09632263257951"
"ast","3.11892889668342"
"ggt","3.11545896685474"
"ldh","5.54236505746145"
"tot_prot","72.5492172990183"
"uric_ac","308.027177500663"
"baso_p","0.0705154939735158"
"lympho_p","0.31080525338286"
"mono_p","0.0774169010347572"
"neut_p","0.576173520827806"
"wbc","1.81021231167297"
"trig","0.179690520008389"
"hdl","1.46417737065535"
"ldl","3.1684241708676"
"chol","5.25478633589812"
"chol_hdl","3.83815266509773"
